layer,name,address,city,state,zip,phone,website,mission_description,longitude,latitude
Artisan Places to Eat Drink and Stay,1849 Brewing Company,468 Sutton Wy,Grass Valley,CA,95945,530-477-1849,https://www.1849brewingco.com,"1849 Brewing Co. is a brewery in Grass Valley, CA bringing great tasting modern and traditional style beers, as well as, delicious American pub style food to the Grass Valley, Nevada City, Auburn, and greater Sacramento areas.",-121.036218982724,39.2324595163263
Artisan Places to Eat Drink and Stay,A Victorian Rose,120 Winchester St,Grass Valley,CA,95945,925-825-6462,http://www.a-victorian-rose.com/ ,"Our restored 1891 Victorian vacation home is located in the convenient Downtown Historic District of Grass Valley, Ca. right in the Heart of the Gold Country! Our beautiful, luxury four bedroom home is tastefully decorated with antique & eclectic furnishings.",-121.062542835619,39.2139154419624
Artisan Places to Eat Drink and Stay,Alibi Ale Works,10069 Bridge St,Truckee,CA,96161,530-536-5029,http://www.alibialeworks.com/ ,,-120.184510753335,39.3292153439063
Artisan Places to Eat Drink and Stay,Alta Sierra Village Inn,11858 Tammy Way,Grass Valley,CA,95949,530-273-9102,https://www.altasierravillageinn.com/ ,"The Alta Sierra Village Inn is Nevada County's Best Kept Secret! Situated in an amazing location next to the premiere Alta Sierra Golf Course and Country Club away from the crowds!  Enjoy peace and quiet and the tranquility of the foothills.  The Inn features 16 rooms, including one six room Suite, one two room Suite, and 14 one room units.",-121.050846271157,39.1357422676668
Artisan Places to Eat Drink and Stay,Avanguardia Winery,13028 Jones Bar Rd,Nevada City,CA,95959,530-274-9482,http://www.avanguardiawines.com/ ,"A small (actually ultra-boutique) winery, we are the home of non-traditional blended wines, with the great majority of our wines being proprietary blends crafted from 2 to 6 different grape varieties, many of which are Italian, and all of which are pretty much out of the mainstream.",-121.11230341807,39.2686878964622
Artisan Places to Eat Drink and Stay,Avanguardia Winery,163 Mill St,Grass Valley,CA,95945,530-274-9911,http://www.avanguardiawines.com/ ,"An ultra-boutique winery, we are the home of non-traditional blended wines, with the great majority of our wines being proprietary blends crafted from 2 to 6 different grape varieties, many of which are Italian, and all of which are pretty much out of the mainstream.",-121.063202773061,39.2173005866527
Artisan Places to Eat Drink and Stay,Bistro 221,221 Broad St,Nevada City,CA,95959,530-265-0221,http://www.bistro221nevadacity.com/,"When we opened March of 2013, we  simply wanted to make our customers happy, while serving quality food.",-121.0182299308,39.2624670827203
Artisan Places to Eat Drink and Stay,Blue Cow Deli,"17500 Penn Valley Dr, Ste A",Penn Valley,CA,95946,530-432-5500,http://bluecowdeli.com/ ,"A small town sandwich shop in a friendly, ranch-style environment ",-121.178271446199,39.1975758103419
Artisan Places to Eat Drink and Stay,Broad Street Bistro and Gallery,426 Broad St,Nevada City,CA,95959,532-432-3056,http://www.broadstreetbistro.com/contact/,"Coffee shop and art gallery with an outdoor patio. Also serve sandwiches, soup, bagels, salads, desserts as well as beer and wine. ",-121.020737690205,39.2632337140693
Artisan Places to Eat Drink and Stay,California Organics Restaurant & Gallery,135 Argall Wy,Nevada City,CA,95959,530- 265-9392,http://www.californiaorganics.com/ ,Committed to procuring the best organic foods and products for our customers.,-121.025078303844,39.2525995939963
Artisan Places to Eat Drink and Stay,Casa del Campo Guest House,12640 Greenfields Wy,Grass Valley,CA,95945,530-273-5067,https://www.casadelcampo.org ,"Welcome to the Casa del Campo Guest House, offering a super vacation rental  option in the Northern California Gold Country.  Nestled in the hamlet of Peardale, just a short drive from the quaint and diverse Grass Valley and Nevada City downtown districts, our charming guest rental studio apartment, the Casita Fresca, is available by reservation only for your short term lodging needs. ",-121.001895006996,39.1843355085611
Artisan Places to Eat Drink and Stay,Cirino’s at Main Street,213 W Main St,Grass Valley,CA,95945,530-477-6000,http://www.cirinosatmainstreet.com/ ,"Jerry Cirino has invited guests to his family table for the past 35 years and has served his signature dishes to those who celebrate great food, great friends and good cheer. A neighborhood restaurant patronized by local residents and visitors alike. Proudly serving pastas, lamb, steaks, and seafood. Featuring a full bar and an extensive wine list.",-121.063441112276,39.2190764994
Artisan Places to Eat Drink and Stay,Claire Tappan Lodge,19940 Donner Pass Rd,Norden,CA,95724,530-426-3632,http://www.clairtappaanlodge.com/ ,"Nestled in the woods on historic Donner Pass, Clair Tappaan Lodge offers a rustic mountain retreat for snow enthusiasts and summer adventurers alike. Approximately one mile from the Pacific Crest Trail and 25 miles from Lake Tahoe, we’re your headquarters for year round recreation in the Sierra Nevada.",-120.350014270004,39.3167350265338
Artisan Places to Eat Drink and Stay,Cooper’s Ale Works,235 Commercial St,Nevada City,CA,95959,530-265-0116,http://coopersnclive.com/ ,"Coopers, located in historic downtown Nevada City has been a favorite bar and live music venue for over a decade. We entertain the citizens of Nevada City and Northern California with a wide variety of live music from Rock and Roll to Bluegrass and Reggae. Coopers has hosted nationally touring acts such as Leon Russell and Commander Cody as well regional favorites and rising local artists.  And Coopers full bar has the largest selection of draft ales, lagers and ciders in the area.",-121.018062671681,39.2630825181494
Artisan Places to Eat Drink and Stay,Cork 49,142 Mill St,Grass Valley,CA,95945,530-277-8524,http://www.cork49gv.com/,"We specialize in providing wine, beer, cider, and charcuterie for friends and visitors to enjoy here in historic Grass Valley, CA. Featuring wines from all over the world, we are lucky to partner with some of the best! If you're in town, be sure to stop by and say hello.  We'd love to meet you.",-121.063036582039,39.2178908138265
Artisan Places to Eat Drink and Stay,Cottonwood Restaurant & Bar,10142 Rue Hilltop,Truckee,CA,96160,530-587-5711,https://cottonwoodrestaurant.com/ ,Cottonwood overlooks downtown Truckee from one of the nation’s oldest ski lodges. Local artists featured on the walls. ,-120.18179545076,39.3250681209793
Artisan Places to Eat Drink and Stay,Courtyard Inn & Suites,210 No Auburn St,Grass Valley,CA,95945,530-272-7696,http://www.gvcourtyardsuites.com/our-hotel/ ,"As a guest of the Grass Valley Courtyard Suites, you’ll discover a delightful blend of Bed and Breakfast charm and posh hotel amenities. We’re nestled in a quiet neighborhood conveniently located one block from historic downtown Grass Valley. Our 42 luxurious and spacious guestrooms and suites each reflect a unique style and character.",-121.062481429481,39.220392386324
Artisan Places to Eat Drink and Stay,Crazy Horse Saloon & Grill,238 Commercial St,Nevada City ,CA,95959,530-265-4000,http://crazyhorsenc.com/ ,"Built on an expansive foundation of colorful history, we feel like every day in Nevada City presents the opportunity for a new adventure. Our identity is synonymous with world class live music, elevated bar food, a full range of libations, sporting spirit and an overriding comfort factor that makes us a home away from home. ",-121.01754138022,39.2631498200085
