id,street,city,state,zip
ben-taylor-home-grass-valley,652 Linden Ave,Grass Valley,CA,
chinese-cemetary-nevada-city,9 Kidder Court,Nevada City,CA,
chris-stevens-court-grass-valley,"Stevens Court, off Mill St",Grass Valley,CA,
chuck-yeager-monument-grass-valley,"Nevada County Airport, John Bauer Ave.",Grass Valley,CA,
elk-s-lodge-nevada-city,111 N. Pine St,Nevada City,CA,
ellen-sargent-nevada-city,Calanan Park,Nevada City,CA,
first-commercial-winery-305-broad-st-nevada-city,305 Broad St.,Nevada City,CA,
golden-era-lounge-309-broad-street-nevada-city,309 Broad Street/Golden Era Lounge,Nevada City,CA,
hirschman-s-pond-nevada-city,"15475 Hwy 49,",Nevada City,CA,
jacob-van-blaren-penn-valley,"Just east of 19321 Wildflower Dr, Lake Wildwood",Penn Valley,CA,
jax-truckee-diner-truckee,"Corner of Bridge and W. River Sts.,",Truckee,CA,
kentucky-flat-school-nevada-city,13281 Newtown Rd,Nevada City,CA,
kentucky-ridge-mine-site-nevada-city,10615 Lone Lobo Trail,Nevada City,CA,
mcguashen-butterfly-collection-truckee,Inside 10981 Truckee Way,Truckee,CA,
memorial-arch-truckee,"Behind the Old Jail, northeast corner of Spring and Jibboom Sts",Truckee,CA,
nevada-city-ame-church-site-nevada-city,549 N. Pine St,Nevada City,CA,
north-san-juan-protestant-cemetery-north-san-juan,27994 Cemetery Alley,North San Juan,CA,
preston-and-louisa-alexander-homesite-nevada-city,330 Alexander St.,Nevada City,CA,
rough-and-ready-cemetery-rough-and-ready,14472 Stagecoach Way,Rough and Ready,CA,
w-c-jones-memorial-hospital-grass-valley,328 S. Church St.,Grass Valley,CA,
washoe-tribe-grinding-stone-lam-truckee,Northeast corner of Jibboom and Bridge Sts,Truckee,CA,
woolman-school-nevada-city,12075 Woolman Lane,Nevada City,CA,
uncle-rob-s-cabin-grass-valley,13970 Seven Cedars Dr,Grass Valley,CA,
ca-historical-marker-floriston-bronco-floriston,10290 Floriston Way,Floriston,CA,
adele-s-attic-truckee,10064 Donner Pass Road,Truckee,CA,
back-in-the-day-grass-valley,120 Mill St,Grass Valley,CA,
brothers-arts-and-antiques-nevada-city,319 Broad St,Nevada City,CA,
enid-and-edgar-vintage-nevada-city,754 Zion St,Nevada City,CA,
grass-valley-antique-emporium-grass-valley,150 Mill St,Grass Valley,CA,
kodo-arts-japanese-antiques-nevada-city,571 Searls Ave,Nevada City,CA,
lost-and-found-vintage-nevada-city,227 Broad St,Nevada City,CA,
solstice-nevada-city,104 N Pine St,Nevada City,CA,
sunchild-s-parlour-grass-valley,126 W Main St,Grass Valley,CA,
unique-boutique-truckee,10925 W River St,Truckee,CA,
valhalla-vintage-truckee,10736 Pioneer Trail,Truckee,CA,
vintage-on-mill-grass-valley,117 Mill St,Grass Valley,CA,
9848-gallery-truckee-artist-lofts-truckee,9848 Donner Pass Rd,Truckee,CA,
art-space-grass-valley,509 S Auburn St,Grass Valley,CA,
art-truckee-truckee,9940 Donner Pass Rd,Truckee,CA,
art-works-gallery-grass-valley,113 Mill St,Grass Valley,CA,
asif-studios-grass-valley,940 Idaho Maryland Rd,Grass Valley,CA,
bear-river-glassworks-grass-valley,20033 Casa Loma Dr,Grass Valley,CA,
c-h-a-m-p-gallery-at-city-hall-nevada-city,317 Broad St,Nevada City,CA,
eric-rood-administration-center-lobby-nevada-city,950 Maidu Ave,Nevada City,CA,
holt-ballet-conservatory-nevada-city,400 Providence Mine Rd,Nevada City,CA,
juxtartstudios-nevada-city,406 Nimrod St,Nevada City,CA,
la-galleria-truckee,10112 Donner Pass Rd,Truckee,CA,
lorien-powers-studio-jewelry-truckee,9932 Donner Pass Rd,Truckee,CA,
mix-decor-design-nevada-city,108 Argall Way,Nevada City,CA,
piper-j-gallery-truckee,10250 Donner Pass Rd,Truckee,CA,
ridgeline-gallery-truckee,10104 Donner Pass Rd,Truckee,CA,
seven-stars-gallery-nevada-city,210 Spring St,Nevada City,CA,
steve-randall-community-recreation-center-truckee,10981 Truckee Way,Truckee,CA,
the-chambers-project-grass-valley,627 E Main St,Grass Valley,CA,
the-granucci-gallery-grass-valley,314 W Main St,Grass Valley,CA,
the-vault-crush-nevada-city,211 Broad Street,Nevada City,CA,
truckee-dance-factory-truckee,"10975 Pioneer Trail, #3",Truckee,CA,
truckee-tahoe-airport-truckee,10356 Truckee Airport,Truckee,CA,
uba-seo-nisenan-arts-and-culture-nevada-city,225 Broad St,Nevada City,CA,
wolf-craft-school-nevada-city,"205 York St, Ste C",Nevada City,CA,
nevada-county-arts-council-and-truckee-cultural-district-truckee,"10266 Truckee Airport Rd, Ste C",Truckee,CA,
auric-adornments-grass-valley,470 Auburn St,Grass Valley,CA,
grateful-ink-nevada-city,315 Spring St,Nevada City,CA,
punk-and-bunny-tattoo-grass-valley,1087 E Main St,Grass Valley,CA,
snowy-mountain-tattoo-co-truckee,11400 Donner Pass Rd,Truckee,CA,
sweet-spirit-tattoo-nevada-city,"420 Providence Mine Rd, Ste 245",Nevada City,CA,
truth-tattoo-truckee,10099 Jibboom St,Truckee,CA,
an-inner-sanctum-nevada-city,"308 Broad St,",Nevada City,CA,
brown-banana-books-grass-valley,671 Maltman Dr,Grass Valley,CA,
clock-tower-records-grass-valley,130 W Main St,Grass Valley,CA,
foggy-mountain-music-grass-valley,104 W Main St,Grass Valley,CA,
gold-city-guitar-repair-nevada-city,220 Main St #7B,Nevada City,CA,
nevada-county-doris-foley-library-for-historical-research-nevada-city,211 N Pine St,Nevada City,CA,
nevada-county-library-bear-river-branch-auburn,11010 Combie Rd,Auburn,CA,
nevada-county-library-grass-valley-royce-branch-grass-valley,207 Mill St,Grass Valley,CA,
nevada-county-library-madelyn-helling-branch-nevada-city,980 Helling Way,Nevada City,CA,
nevada-county-library-penn-valley-branch-penn-valley,11252 Pleasant Valley Rd,Penn Valley,CA,
rock-cellar-records-truckee,10052 Donner Pass Rd,Truckee,CA,
ron-s-real-records-grass-valley,233A Mill St,Grass Valley,CA,
san-juan-ridge-community-library-nevada-city,18841 Oak Tree Rd,Nevada City,CA,
sans-backup-plan-records-nevada-city,"748 Zion St, A",Nevada City,CA,
sound-check-music-grass-valley,671 Maltman Dr,Grass Valley,CA,
split-rock-music-co-truckee,10230 Donner Pass Rd,Truckee,CA,
toad-hall-books-nevada-city,108 N Pine St,Nevada City,CA,
word-after-word-books-truckee,10052 Donner Pass Rd,Truckee,CA,
1882-bar-and-grill-truckee,10009 E River St,Truckee,CA,
alloro-ristorante-grass-valley,124 Bank St,Grass Valley,CA,
bar-of-america-truckee,10040 Donner Pass Rd,Truckee,CA,
bicycle-thief-grass-valley,"122 E Main St,",Grass Valley,CA,
blue-coyote-bar-and-grill-truckee,10015 Palisades Dr,Truckee,CA,
brewhaus-nevada-city,300 Spring St,Nevada City,CA,
bubba-s-bagels-grass-valley,860 Sutton Way,Grass Valley,CA,
burger-me-truckee,10418 Donner Pass Rd,Truckee,CA,
casa-baeza-mexican-restaurant-truckee,10010 Bridge St,Truckee,CA,
clarky-s-bbq-smoke-and-more-penn-valley,17487 Penn Valley Dr,Penn Valley,CA,
cloud-sushi-truckee,10130 W River St,Truckee,CA,
como-truckee,10164 Donner Pass Rd,Truckee,CA,
craft-and-logic-taproom-truckee,11448 Deerfield Dr,Truckee,CA,
